wavenumber,intensity
599.760403,0.239106598
600.242526,0.331937455
600.724648,0.336033979
601.206771,0.382130268
601.688893,0.414984736
602.171016,0.441434169
602.653138,0.486666051
603.135261,0.524085251
603.617383,0.559521385
604.099506,0.603897693
604.581628,0.651335819
605.063751,0.683303947
605.545873,0.695520427
606.027996,0.701165211
606.510118,0.713837141
606.992241,0.741385478
607.474363,0.780950681
607.956486,0.818394573
608.438608,0.845694696
608.920731,0.862772118
609.402853,0.858740919
609.884976,0.820154236
610.367099,0.756358409
610.849221,0.692475231
611.331344,0.647890225
611.813466,0.633394033
612.295589,0.649566477
612.777711,0.684851041
613.259834,0.724093542
613.741956,0.75331218
614.224079,0.76275156
614.706201,0.75417326
615.188324,0.736005351
615.670446,0.711148778
616.152569,0.679915913
616.634691,0.648594217
617.116814,0.624118101
617.598936,0.603540687
618.081059,0.575599104
618.563181,0.539513191
619.045304,0.512321573
619.527426,0.503973685
620.009549,0.501287716
620.491671,0.493238169
620.973794,0.489342217
621.455916,0.504147177
621.938039,0.536688454
622.420161,0.569100046
622.902284,0.581224623
623.384406,0.567771936
623.866529,0.538178657
624.348651,0.499595239
624.830774,0.455205282
625.312896,0.415347505
625.795019,0.394096048
626.277141,0.397097951
626.759264,0.419533819
627.241386,0.450083569
627.723509,0.477348696
628.205631,0.497460637
628.687754,0.513574077
629.169876,0.527997894
629.651999,0.538204356
630.134121,0.538548314
630.616244,0.527325919
631.098366,0.510245669
631.580489,0.494520217
632.062611,0.483698965
632.544734,0.48058921
633.026857,0.489173114
633.508979,0.510520031
633.991102,0.539011578
634.473224,0.566037582
634.955347,0.585249392
635.437469,0.594689986
635.919592,0.595344298
636.401714,0.589112569
636.883837,0.576013568
637.365959,0.554682407
637.848082,0.526596973
638.330204,0.496426723
638.812327,0.46747873
639.294449,0.440620323
639.776572,0.41596113
640.258694,0.393004298
640.740817,0.370898222
641.222939,0.351003378
641.705062,0.336339732
642.187184,0.328486853
642.669307,0.326342956
643.151429,0.327091501
643.633552,0.327547378
644.115674,0.324466723
644.597797,0.316355956
645.079919,0.305013733
645.562042,0.292572804
646.044164,0.27875738
646.526287,0.263565567
647.008409,0.248045981
647.490532,0.23133616
647.972654,0.21144559
648.454777,0.18912636
648.936899,0.168060606
649.419022,0.132909113
649.901144,0.122466428
650.383267,0.116036267
650.865389,0.110650107
651.347512,0.104291803
651.829634,0.097426227
652.311757,0.091077844
652.793879,0.084148783
653.276002,0.094216739
653.758124,0.081534403
654.240247,0.096894196
654.722369,0.074001669
655.204492,0
655.686615,0
