wavenumber,intensity
599.760403,0
601.688893,0
603.617383,0
605.545873,0
607.474363,0
609.402853,0
611.331344,0
613.259834,0
615.188324,0
617.116814,0
619.045304,0
620.973794,0.02821704
622.902284,0.059582142
624.830774,0.094235255
626.759264,0.122242632
628.687754,0.145043692
630.616244,0.168210559
632.544734,0.19258354
634.473224,0.20830822
636.401714,0.216384701
638.330204,0.229066102
640.258694,0.24031234
642.187184,0.251632435
644.115674,0.272025527
646.044164,0.288443545
647.972654,0.305928133
649.901144,0.322175982
651.829634,0.336313874
653.758124,0.34940341
655.686615,0.363222968
657.615105,0.378254885
659.543595,0.393149579
661.472085,0.406763592
663.400575,0.419456091
665.329065,0.431663998
667.257555,0.442667512
669.186045,0.451622561
671.114535,0.458803275
673.043025,0.471244402
674.971515,0.479506
676.900005,0.489786344
678.828495,0.501182276
680.756985,0.512934222
682.685475,0.525326298
684.613965,0.53853651
686.542455,0.551958172
688.470945,0.564762068
690.399435,0.576412888
692.327925,0.586997145
694.256415,0.59726737
696.184905,0.607872998
698.113395,0.618646869
700.041885,0.629038573
701.970376,0.638963353
703.898866,0.648823193
705.827356,0.658931084
707.755846,0.669210134
709.684336,0.679374
711.612826,0.68932196
713.541316,0.699370351
715.469806,0.709825177
717.398296,0.720300195
719.326786,0.730177615
721.255276,0.739615529
723.183766,0.749177911
725.112256,0.759025924
727.040746,0.76919146
728.969236,0.77970838
730.897726,0.784237436
732.826216,0.794115102
734.754706,0.803495721
736.683196,0.812499901
738.611686,0.820889866
740.540176,0.828532072
742.468666,0.835521894
744.397156,0.842034065
746.325647,0.848360715
748.254137,0.849806295
750.182627,0.851415902
752.111117,0.853359691
754.039607,0.855704032
755.968097,0.857855716
757.896587,0.859115914
759.825077,0.859603053
761.753567,0.859893141
763.682057,0.860277979
765.610547,0.86112823
767.539037,0.86323657
769.467527,0.866866961
771.396017,0.870863988
773.324507,0.873469755
775.252997,0.87408365
777.181487,0.873685281
779.109977,0.873430488
781.038467,0.873580954
782.966957,0.874115332
784.895447,0.875531853
786.823937,0.878298397
788.752427,0.882035872
790.680918,0.885982558
792.609408,0.889981705
794.537898,0.894549902
796.466388,0.900008376
798.394878,0.905860074
800.323368,0.91131264
802.251858,0.916181466
804.180348,0.920912594
806.108838,0.926073326
808.037328,0.932198206
809.965818,0.939621534
811.894308,0.948010617
813.822798,0.956343362
815.751288,0.963511736
817.679778,0.968889265
819.608268,0.972614269
821.536758,0.975464897
823.465248,0.978208567
825.393738,0.981240697
827.322228,0.984809406
829.250718,0.988911971
831.179208,0.993041543
833.107698,0.996457042
835.036188,0.998595478
836.964679,0.999459943
838.893169,0.999768678
840.821659,1
842.750149,0.99951048
844.678639,0.997683728
846.607129,0.994964118
848.535619,0.991752648
850.464109,0.987803622
852.392599,0.98302523
854.321089,0.977705251
856.249579,0.972311988
858.178069,0.967266588
860.106559,0.962361507
862.035049,0.956972405
863.963539,0.951052731
865.892029,0.945014048
867.820519,0.938917494
869.749009,0.932689198
871.677499,0.926583185
873.605989,0.92101571
875.534479,0.916332816
877.462969,0.912501465
879.391459,0.908956249
881.31995,0.905017594
883.24844,0.900218676
885.17693,0.894395012
887.10542,0.887815116
889.03391,0.880981492
890.9624,0.874236585
892.89089,0.867655199
894.81938,0.86102411
896.74787,0.853933777
898.67636,0.846144443
900.60485,0.837726599
902.53334,0.828902303
904.46183,0.820010411
906.39032,0.811364376
