wavenumber,intensity
599.760403,0.066883614
600.242526,0.042717073
600.724648,0.023304008
601.206771,0.008976761
601.688893,0
602.171016,0
602.653138,0
603.135261,0.01580469
603.617383,0.029264872
604.099506,0.044609375
604.581628,0.04976207
605.063751,0.0465173
605.545873,0.03727753
606.027996,0.025224602
606.510118,0.023846
606.992241,0.023625822
607.474363,0.030605955
607.956486,0.037519758
608.438608,0.058373845
608.920731,0.081069073
609.402853,0.094187332
609.884976,0.08830756
610.367099,0.065013347
610.849221,0.036115933
611.331344,0.009949538
611.813466,0
612.295589,0
612.777711,0
613.259834,0
613.741956,0
614.224079,0
614.706201,0
615.188324,0
615.670446,0
616.152569,0
616.634691,0
617.116814,0
617.598936,0
618.081059,0
618.563181,0
619.045304,0
619.527426,0
620.009549,0.01373853
620.491671,0.02929929
620.973794,0.056445233
621.455916,0.08735366
621.938039,0.116580796
622.420161,0.134307017
622.902284,0.134187123
623.384406,0.1208879
623.866529,0.105628549
624.348651,0.093685162
624.830774,0.082197841
625.312896,0.069835625
625.795019,0.061293452
626.277141,0.06099708
626.759264,0.066882778
627.241386,0.071781973
627.723509,0.070374831
628.205631,0.064357059
628.687754,0.05940591
629.169876,0.057566683
629.651999,0.056798119
630.134121,0.056264318
630.616244,0.055969312
631.098366,0.054552101
631.580489,0.052253959
632.062611,0.051583315
632.544734,0.052579445
633.026857,0.052570724
633.508979,0.051666912
633.991102,0.053652295
634.473224,0.060601031
634.955347,0.07003522
635.437469,0.076423327
635.919592,0.074949332
636.401714,0.065936345
636.883837,0.054140091
637.365959,0.042942038
637.848082,0.031946242
638.330204,0.026808204
638.812327,0.021005182
639.294449,0.024372397
639.776572,0.031462638
640.258694,0.048867009
640.740817,0.067595085
641.222939,0.085863893
641.705062,0.101641159
642.187184,0.112629453
642.669307,0.117722761
643.151429,0.117119775
643.633552,0.112557361
644.115674,0.106374591
644.597797,0.099476211
645.079919,0.093315243
645.562042,0.091390007
646.044164,0.094773418
646.526287,0.10018053
647.008409,0.104893592
647.490532,0.10898878
647.972654,0.112083863
648.454777,0.112669302
648.936899,0.110468834
649.419022,0.106550411
649.901144,0.102449133
650.383267,0.100281735
650.865389,0.101989205
651.347512,0.108037286
651.829634,0.117490025
652.311757,0.12888661
652.793879,0.140620757
653.276002,0.151828186
653.758124,0.167179325
654.240247,0.175581261
654.722369,0.178410397
655.204492,0.174660298
655.686615,0.168009044
656.168737,0.162989307
656.65086,0.161178766
657.132982,0.16184181
657.615105,0.164152007
658.097227,0.167978323
658.57935,0.173064603
659.061472,0.177514574
659.543595,0.17895228
660.025717,0.177522011
660.50784,0.176178063
660.989962,0.177439035
661.472085,0.181432427
661.954207,0.186866779
662.43633,0.192244379
662.918452,0.198284962
663.400575,0.202015618
663.882697,0.20638186
664.36482,0.212081229
664.846942,0.218515306
665.329065,0.224873504
665.811187,0.230882159
666.29331,0.236314921
666.775432,0.240459122
667.257555,0.242731957
667.739677,0.243807548
668.2218,0.245006461
668.703922,0.24671638
669.186045,0.248716628
